20 33
1 1 1 1 2 3 2 1 2 3 4 1 1 3 1 1 1 1 2 1
3 4 3 5 4 4 2 8 5 3 5 4 2 3 5 3 8 4 2 1
9 30 7 9 16 26 18 28 16 20 11 9 28 20 7 9 28 9 18 9 
21 1 2 1 
22 1 2 1 
23 2 33 25 
24 2 33 25  
25 3 2 5  
26 3 2 5 
27 4 2 1 
28 4 2 1 
29 5 14 1
30 6 23 32 
31 7 2 1
32 8 33 25
33 8 33 25
1 9 2 5
2 10 33 13
3 11 14 13
4 12 2 1
5 12 14 13
6 13 23 32
7 13 5 25
8 14 23 13
9 15 14 5
10 15 22 5
11 16 22 1
12 16 2 1
13 17 23 32
14 17 22 5 
15 18 14 13
16 18 2 1
17 19 23 1
18 20 2 1
19 20 23 1 
20 0 2 1
35 44 
2 30 50 
1 50 50 
9 30 40
9 50 40 
2 0 30 
9 10 30
3 20 30
9 30 30
3 40 30 
9 50 30 
6 60 30 
9 70 30 
2 80 30 
1 0 20 
8 10 20 
4 20 20 
9 30 20 
4 40 20 
9 50 20 
5 60 20 
8 70 20 
1 80 20
1 0 10 
9 10 10
2 10 15 
5 20 10 
9 30 10
3 40 10 
9 50 10
3 60 10
9 70 10
2 70 15
1 80 10 
8 30 0 
8 50 0
30 49 1
50 49 2
28 40 3
32 40 3
30 42 3
30 38 3
48 40 4
52 40 4
50 42 4
50 38 4
1 30 5
8 30 6
12 30 6
10 32 6 
10 28 6
16 30 7
17 32 7
17 28 7
19 34 7
20 36 7
21 34 7
23 32 7
23 28 7
24 30 7 
28 30 8 
32 30 8
30 32 8 
30 28 8 
36 30 9 
37 32 9
37 28 9 
39 34 9
40 36 9 
41 34 9
43 32 9
43 28 9
44 30 9 
48 30 10 
52 30 10
50 32 10
50 28 10
58 30 11
62 30 11
68 30 12
72 30 12 
70 32 12
70 28 12
79 30 13
1 20 14 
8 20 15
12 20 15 
10 22 15
18 20 16
22 20 16
28 20 17 
32 20 17 
30 22 17
30 18 17 
38 20 18 
42 20 18 
48 20 19 
52 20 19 
50 22 19 
50 18 19 
58 20 20
62 20 20
68 20 21 
72 20 21
70 22 21
79 20 22
1 10 23
8 10 24 
12 10 24
10 12 24
10 8 24 
10 14 25
18 10 26 
22 10 26
28 10 27 
32 10 27 
30 12 27
30 8 27 
36 10 28
37 12 28
37 8 28
39 14 28
40 16 28
41 14 28
43 12 28
43 8 28 
44 10 28 
48 10 29 
52 10 29
50 12 29
50 8 29
56 10 30 
57 12 30
57 8 30 
59 14 30
60 16 30
61 14 30
63 12 30
63 8 30
64 10 30
68 10 31
72 10 31
70 12 31 
70 8 31
70 14 32
79 10 33 
28 0 34
32 0 34
30 2 34 
48 0 35 
52 0 35
50 2 35
1 3 1 5 10
2 4 2 9 10
3 4 4 7 20
3 6 3 14 30 
3 8 6 27 10 
4 10 10 40 10
4 12 8 46 30 
5 6 11 12 10
6 7 13 16 10
6 15 15 52 10
7 8 24 25 10
8 9 26 29 10
8 17 28 57 10
9 10 37 38 10
10 11 39 42 10
10 19 41 63 10
11 12 43 44 10
12 13 45 48 10
12 21 47 69 10
14 15 49 50 10
15 16 51 53 10
16 17 54 55 10
17 18 56 59 10
17 27 58 81 10
18 19 60 61 10
19 20 62 65 10
19 29 64 94 10
20 21 66 67 10
21 22 68 70 10
23 24 71 72 10
24 25 74 76 5
24 26 73 77 10 
24 34 75 111 30 
26 27 78 79 10
27 28 80 83 10
27 34 82 113 10
28 29 91 92 10
29 30 93 96 10
29 35 95 116 10
30 31 104 105 10
31 32 107 109 5
31 33 106 110 10
31 35 108 115 30 
34 35 112 114 20
